web-scraper-order,web-scraper-start-url,links,links-href,marque,price,adresse,image-link-src
"1738754838-119","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de camion","https://www.dakarvente.com/annonce-38410-location-de-camion.html","Description : 
Location de camion pour vos transports de conteneurs, de marchandises partout à Dakar et au Sénégal et dans la sous-région,  louer votre camion avec un chauffeur expérimenté en courte ou longue durée.On vous propose de louer des camions de bonne qualité. Veuillez nous contacter au 766360506 ou au 777449337.","","Offre d'un particulier à Scat Urbam","media/annonces/pics/cadedac9ac2ff7b62bdc3035488ad84c.jpg"
"1738754854-120","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","LOCATION VEHICULE","https://www.dakarvente.com/annonce-38819-location-vehicule.html","Description : 
LOCATION FORD FUSION SE AUTOMATIQUE ESSENCE INTÉRIEUR TISSU CAMÉRA DE RECUL 4 CYLINDRE LOCATION LONGUE DURÉE AVEC CHAUFFEUR OU SANS CLIENT SÉRIEUX S'ABSTENIR ANNÉE 2014 LE PRIX CHANGE SELON LES DESTINATIONS","35.000  FCFA","Offre d'un particulier à Mermoz","media/annonces/pics/b3be8ecdc35663cf6593a0ced4f04ec2.jpg"
"1738754881-121","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de véhicules","https://www.dakarvente.com/annonce-38875-location-de-vhicules.html","Etat :
Occasion","30.000  FCFA","Offre d'un particulier à Cité Keur Gorgui","media/annonces/pics/89f833dc1cf687f7b6258396f1f1198e.jpg"
"1738754895-122","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de véhicules","https://www.dakarvente.com/annonce-38904-location-de-vhicules.html","Etat :
Occasion","30.000  FCFA","Offre d'un particulier à Cité Keur Gorgui","media/annonces/pics/1ab6b83d3be5bd1cec5ae90d234fc330.jpg"
"1738754903-123","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location voiture avec chauffeur","https://www.dakarvente.com/annonce-39141-location-voiture-avec-chauffeur.html","Description : 
À louer Mitsubishi Pajero did 7 places Diesel très économique avec chauffeur pour tout vos déplacements dans Dakar et hors de Dakar vers Thiés Mbour Saly  somone Tivaoune Touba Saint-Louis etc et aussi navette Dakar AIBD Dakar disponible pour plus d'informations veuillez me contacter svp Merci","50.000  FCFA","Offre d'un particulier à Sud Foire","media/annonces/pics/87d8a2082cbc7d9564a665c1f607cd7a.jpg"
"1738754920-124","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","VOITURE A LOUER POUR LES PETITES COURSES À DAKAR","https://www.dakarvente.com/annonce-40485-voiture-a-louer-pour-les-petites-courses-dakar.html","Etat :
Occasion","","Offre d'un particulier à Dakar","media/annonces/pics/c83270edff336dcdcf40f3cf31f2d53d.jpg"
"1738754945-125","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Madza Cx5 très propres en location","https://www.dakarvente.com/annonce-40795-madza-cx5-trs-propres-en-location.html","Etat :
Neuf","45.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/96b06bf622d2bb5389f990d403c7f908.jpeg"
"1738754961-126","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Mercedes CIA Fully disponible en location","https://www.dakarvente.com/annonce-40798-mercedes-cia-fully-disponible-en-location.html","Etat :
Neuf","80.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/9c59f66c864280f96aaa3a8492b5bfda.jpeg"
"1738754970-127","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Prado Land cruiser en location","https://www.dakarvente.com/annonce-40799-prado-land-cruiser-en-location.html","Etat :
Neuf","95.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/c1a142986a13d296f0de844606d6084a.jpeg"
"1738754984-128","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Pick-up disponible en location","https://www.dakarvente.com/annonce-40822-pick-up-disponible-en-location.html","Etat :
Neuf","50.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/20ead62962d0a2ea5637133d419c3093.jpeg"
"1738755003-129","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Mitsubishi à louer","https://www.dakarvente.com/annonce-40823-mitsubishi-louer.html","Etat :
Neuf","60.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/f27acd61d1d1e1e70d5c6e0bcf8d3cb3.jpeg"
"1738755024-130","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","KIA Sportage à louer","https://www.dakarvente.com/annonce-40824-kia-sportage-louer.html","Etat :
Neuf","45.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/1779113fda56dd33cf432627181291f2.jpeg"
"1738755032-131","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Jeep Cherokee à louer","https://www.dakarvente.com/annonce-40825-jeep-cherokee-louer.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/21cd82d61d6049359ee336f63d977456.jpeg"
"1738755047-132","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Ford fusion à louer","https://www.dakarvente.com/annonce-40826-ford-fusion-louer.html","Etat :
Neuf","30.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/6d3560cd1470700297e67b9555a6a636.jpeg"
"1738755059-133","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Ford Escape en location","https://www.dakarvente.com/annonce-40827-ford-escape-en-location.html","Etat :
Neuf","40.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/72ad34af1e569ed3fff0556a03b879a3.jpeg"
"1738755072-134","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Ford fusion à louer","https://www.dakarvente.com/annonce-40828-ford-fusion-louer.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/cb0aa542a7a5d5a5b7f5720fb1d66adf.jpeg"
"1738755100-135","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location : Ford fusion titanium.                                   Prix :35000f","https://www.dakarvente.com/annonce-40935-location-ford-fusion-titanium-prix-35000f.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/f999ba6ba319ed86754175bf16712945.jpeg"
"1738755128-136","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Hyundai Elantra en location","https://www.dakarvente.com/annonce-40945-hyundai-elantra-en-location.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/d9a225c349b349943cf520ba38e7fa9d.jpeg"
"1738755174-137","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","HYundaï grandeur,","https://www.dakarvente.com/annonce-40946-hyunda-grandeur.html","Etat :
Occasion","45.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/47e6b83a34afc113ba81bae4f467504e.jpeg"
"1738755199-138","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","BMW en location","https://www.dakarvente.com/annonce-40948-bmw-en-location.html","Etat :
Neuf","50.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/7dbece353efeea9845118063702f5fdd.jpeg"
"1738755227-139","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Madza en location","https://www.dakarvente.com/annonce-40949-madza-en-location.html","Etat :
Neuf","50.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/7459f4aa4b978c4ce9bd5984e82cb739.jpeg"
"1738755238-140","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Ford Fusion titanium","https://www.dakarvente.com/annonce-41289-ford-fusion-titanium.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/fa46aa05d5236228467be1ba5b7f72eb.jpeg"
"1738755262-141","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Location Kia K7","https://www.dakarvente.com/annonce-42658-location-kia-k7.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Ngor","media/annonces/pics/96a2c0e3fb811b5861a6ce5dfdbf9d3d.jpeg"
"1738755270-142","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","LOCATION DE VOITURE/ TRANSPORT AIBD","https://www.dakarvente.com/annonce-42798-location-de-voiture-transport-aibd.html","Description : 
votre partenaire de confiance en matière de transport et de location de véhicules.

Véhicule avec ou sans chauffeur

Taxi pour vos courses

Abonnement scolaire

Réservation obligatoire

RAPIDE - FIABLE - SECURITE","","Offre d'un particulier à Dakar","media/annonces/pics/adaf5158f46c064d0cb60d443055a79d.jpeg"
"1738755279-143","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","FORD EXPLORER DISPONIBLE POUR LOCATION","https://www.dakarvente.com/annonce-43661-ford-explorer-disponible-pour-location.html","Etat :
Neuf","60.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/ab20f48f820666d51b05a1adf7e8a3eb.jpeg"
"1738755306-144","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Hyundai Elantra à louer","https://www.dakarvente.com/annonce-45180-hyundai-elantra-louer.html","Etat :
Occasion","30.000  FCFA","Offre d'un particulier à Sipres","media/annonces/pics/d943609d152b30de8a4d46786e52e818.jpeg"
"1738755320-145","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","LOCATION VOITURE AVEC CHAUFFEUR","https://www.dakarvente.com/annonce-45181-location-voiture-avec-chauffeur.html","Etat :
Neuf","30.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/32927326f52d1516424417454be3f764.jpeg"
"1738755327-146","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45364-firdawsi-automobile.html","Etat :
Neuf","250.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/57c08300b37167a8abf08e8c7d3f8176.jpeg"
"1738755335-147","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45365-firdawsi-automobile.html","Etat :
Neuf","130.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/70c9a2241da909dfdf76b6cb8c5e6721.jpeg"
"1738755353-148","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45367-firdawsi-automobile.html","Etat :
Neuf","60.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/be1e49430d9fc5e376d38f54bd7f65cb.png"
"1738755369-149","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45369-firdawsi-automobile.html","Etat :
Neuf","300.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/d939af9510dbb8eec95363776b3e4fd6.jpeg"
"1738755377-150","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45370-firdawsi-automobile.html","Etat :
Neuf","300.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/9178ccb413fda62e4f9d433e6b9a5c3d.jpeg"
"1738755392-151","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45371-firdawsi-automobile.html","Etat :
Neuf","250.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/ce4b5281b1aeca76aba2ada2ad91db91.jpeg"
"1738755401-152","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45372-firdawsi-automobile.html","Etat :
Neuf","40.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/a242a42ed1a8008ca0fa2119910d47d6.jpeg"
"1738755409-153","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45373-firdawsi-automobile.html","Etat :
Neuf","50.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/c4394921d9888413b560b7f506c85b8d.jpeg"
"1738755421-154","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45374-firdawsi-automobile.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/95f0b7d5221be5423ea2c2bfeb697d40.jpeg"
"1738755438-155","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45376-firdawsi-automobile.html","Etat :
Neuf","130.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/33b8ac7c4f6c760d91a02753f40d0374.jpeg"
"1738755467-156","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45377-firdawsi-automobile.html","Etat :
Neuf","40.000  FCFA","Offre d'un particulier à Dakar",""
"1738755480-157","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45378-firdawsi-automobile.html","Etat :
Neuf","40.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/9d3a6a2b49fad05a7893e83fed9b70d4.jpeg"
"1738755508-158","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45379-firdawsi-automobile.html","Etat :
Neuf","40.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/5542df542046cab1cf8b8a20756dc50e.jpeg"
"1738755520-159","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45380-firdawsi-automobile.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/cc89596ad800553fb054f047d72405ad.jpeg"
"1738755550-160","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45382-firdawsi-automobile.html","Etat :
Neuf","150.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/e069c09b23efec7d7fe77a575b9a73aa.jpeg"
"1738755565-161","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45383-firdawsi-automobile.html","Etat :
Neuf","120.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/a252e6d814c7b48f6df7df239f00e841.jpeg"
"1738755576-162","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45384-firdawsi-automobile.html","Etat :
Neuf","150.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/c3e4aca6d4d165a122a69b627f28f185.jpeg"
"1738755592-163","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45385-firdawsi-automobile.html","Etat :
Neuf","60.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/c9c7d6a74dd674d12bb776f2f641692d.jpeg"
"1738755619-164","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Hyundai Sonata 2018","https://www.dakarvente.com/annonce-45547-hyundai-sonata-2018.html","Etat :
Occasion","35.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/2cf191186299223b1b5f52addc98aff2.jpeg"
"1738755648-165","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","BUS A LOUER AVEC CHAUFFEUR","https://www.dakarvente.com/annonce-45866-bus-a-louer-avec-chauffeur.html","Etat :
Neuf","60.000  FCFA","Offre d'un particulier à Pikine","media/annonces/pics/44d0fb4f95a4ef7ecbb15e57c188a920.jpeg"
"1738755657-166","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Location Ford Escape titanium 2014","https://www.dakarvente.com/annonce-45868-location-ford-escape-titanium-2014.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Keur Massar","media/annonces/pics/4ca062de9696ca9a5eb69d92a7bd79d5.jpeg"
"1738755674-167","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Firdawsi automobile","https://www.dakarvente.com/annonce-45381-firdawsi-automobile.html","Etat :
Neuf","250.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/2faacfde866a9091c21a903ea27e07de.jpeg"
"1738755689-168","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Dodge caravan","https://www.dakarvente.com/annonce-47137-dodge-caravan.html","Etat :
Occasion","35.000  FCFA","Offre d'un particulier à Ouakam","media/annonces/pics/414a43c0050d6f20827ae56b7186713c.jpeg"
"1738755703-169","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Location voiture","https://www.dakarvente.com/annonce-48228-location-voiture.html","Etat :
Occasion","25.000  FCFA","Offre d'un particulier à Mamelles","img/nophoto.png"
"1738755731-170","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","LOCATION DE MINI BUS TOYOTA HIACE","https://www.dakarvente.com/annonce-49816-location-de-mini-bus-toyota-hiace.html","Etat :
Neuf","90.000  FCFA","Offre d'un particulier à Grand Yoff",""
"1738755750-171","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=1","Location de voitures","https://www.dakarvente.com/annonce-49955-location-de-voitures.html","Etat :
Neuf","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/13ca996faa99800ae6571db419efa980.jpg"
