web-scraper-order,web-scraper-start-url,links,links-href,price,adresse,image-link-src,marque
"1738685288-1","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location d'une citroen c4","https://www.dakarvente.com/annonce-437-location-d-une-citroen-c4.html","","","",""
"1738685304-2","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Sen service location loue des voiture des marques","https://www.dakarvente.com/annonce-702-sen-service-location-loue-des-voiture-des-marques.html","30.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/15ea8355bee0950e2b7f50a9ad50b086.jpg","Sen service location loue des voiture des marques a prix occationnelle

Nissan rogue ,hyundai santafe ,peugeot 308,totota yaris ,ford scape etc…"
"1738685314-3","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Nissan juke","https://www.dakarvente.com/annonce-1377-nissane-juke.html","50.000  FCFA","Offre d'un particulier à Plateau","","Location véhicule"
"1738685322-4","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voiture cobalt","https://www.dakarvente.com/annonce-1302-location-de-voiture-cobalt.html","25.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/b8beb78f2536162ef279fa99eb2c6e15.jpg","Pour vous déplacement à dakar et à l'intérieur du sénégal nous vous proposons des voitures berlin 4x4 pick up et mini bus. Plus d'infos au 776693312"
"1738685331-5","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","loue voiture toutes marque à partir de 25 000 cfa","https://www.dakarvente.com/annonce-2301-loue-voiture-toutes-marque-partir-de-25-000-cfa.html","30.000  FCFA","Offre d'un particulier à Ouest Foire","media/annonces/pics/238760a28f9060a5d01fcf5ecd260e2a.png","loue voiture toutes marque à moindre prix"
"1738685338-6","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location  nissan juke","https://www.dakarvente.com/annonce-1378-location-nissan-juke.html","","","",""
"1738685340-7","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Bateau à louer","https://www.dakarvente.com/annonce-3079-bateau-louer.html","","","",""
"1738685344-8","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","ORGANISEUR POUR VOITURE","https://www.dakarvente.com/annonce-3352-organiseur-pour-voiture.html","","","",""
"1738685351-9","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location véhicules","https://www.dakarvente.com/annonce-4687-location-vhicules-louer.html","25.000  FCFA","Offre d'un particulier à Amitié","media/annonces/pics/1ac9aec248070b20d0d0d3946f417174.jpeg","Voitures climatisés et comfortable à louer à partir de 25 mil la journée pour vos séjour à Dakar et dans les régions"
"1738685358-10","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Chevrolet Equinoxe à louer","https://www.dakarvente.com/annonce-4756-darou-rakhmane-trading-location-de-chevrolet-quinoxe.html","","Offre d'un particulier à Nord Foire","media/annonces/pics/6bf0b7a2e5e0675b57a4494a621a14dc.jpg","DAROU RAKHMANE TRADING LOUE DES VOITURES DE TOUTES MARQUES A DES PRIX IMBATTABLES"
"1738685364-11","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de Ford focus","https://www.dakarvente.com/annonce-4757-darou-rakhmane-trading-location-de-ford-focus.html","40.000  FCFA","Offre d'un particulier à Nord Foire","media/annonces/pics/f4610e2a44faba5ea20348be8ba5a2a1.jpg","DAROU RAKHMANE TRADING loue des voitures de toutes marques à des prix bas"
"1738685372-12","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","DAROU RAKHMANE TRADING location de voiture","https://www.dakarvente.com/annonce-4877-darou-rakhmane-trading-location-de-voiture.html","","Offre d'un particulier à Nord Foire","media/annonces/pics/463970366b8932f017e800c2d0766bb5.jpg","DAROU RAKHMANE TRADING  loue des Voitures de toute marque à des prix bas"
"1738685381-13","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","4 x 4 Renault Dacia Duster à louer","https://www.dakarvente.com/annonce-4939-4-x-4-renault-dacia-duster-a-louer.html","30.000  FCFA","Offre d'un particulier à Somone","media/annonces/pics/8aee50931178b4da412eddb89eea6e94.jpg","4 x 4 Renault Dacia Duster A louer



30 000 CFA a journee, soit 46 euros.



tel.77 057 30 43 ou 77 455 63 18"
"1738685393-14","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Subaru legacy limited","https://www.dakarvente.com/annonce-5219-subaru-legacy-limited.html","35.000  FCFA","Offre d'un particulier à Liberté 6","media/annonces/pics/04703456943d79c028e0695b1865c1f2.jpg","SUBARU LEGACY LIMITED Sport PKG-AWD-CUIR-

Année 2012 Venant des USA automatique, Essence, 4 Cylindres, toit ouvrant, téléphone intégré, Bluetooth clé USB full option

-Trés Propre  

Minimum 03 jours et les longues durées . Prix dégressif"
"1738685408-15","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","VENTE DE VOITURES","https://www.dakarvente.com/annonce-5313-vente-de-voitures.html","","Offre d'un particulier à Point E","media/annonces/pics/0202bca751d63fde1fab79a4ce8c77a1.jpg","vente de voiture toutes les marques sont disponibles.

Plus d'infos contactez nous"
"1738685416-16","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voitures toutes marques","https://www.dakarvente.com/annonce-5637-l-occasion-de-voiture-tout-marque.html","","Offre d'un particulier à Grand Dakar","media/annonces/pics/2c6d62fc48f2fdff40d293c6a404d6a9.jpg","Location de voitures toutes marques disponible chez ndiaye service"
"1738685426-17","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","location de voiture","https://www.dakarvente.com/annonce-5671-location-de-voiture.html","","Offre d'un particulier à Point E","media/annonces/pics/03873d968751937dd0b6f20804410f2b.jpg","Location de voiture de toutes marques. plus d'infos, contacter taif multiservice."
"1738685436-18","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","LOCATION VOITURE  DIESEL LUXUEUSE ET CLIMATISÉE","https://www.dakarvente.com/annonce-5907-location-voiture-diesel-luxueuse-et-climatise.html","35.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/ced103919cdfd3208897cea2c04ec58c.jpeg","Pour vos séjours et déplacement à Dakar et dans les régions ,nous vous proposons des voitures diesels luxueuses et climatisées

35 m de l'aéroport Dakar avec le chauffeur à 35 000f/jour

Dans les régions à 50 000f/jour"
"1738685457-19","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location Toyota Corolla 2006","https://www.dakarvente.com/annonce-8161-location-toyota-corolla-2006.html","1  FCFA","Offre d'un particulier à Point E","media/annonces/pics/a4e7295ada250b98cdb000398584f8b2.jpg","Location vente de voiture de toutes marques. 

Plus d'informations contactez nous"
"1738685465-20","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","LOCATION DE VEHICULES","https://www.dakarvente.com/annonce-8296-location-de-vehicules.html","25.000  FCFA","Offre d'un particulier à Golf","media/annonces/pics/6be3ce251106e60820a84b53b8124812.jpg","Location FORD FOCUS 2012 essence, automatique, en très bon état. Nous avons également d'autres véhicules à des prix abordables. Pour plus de détails , nous vous prions de bien vouloir nous appeler. Merci!

NB: Le prix est négociable à partir de 10 jours."
"1738685474-21","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voitures automatiques","https://www.dakarvente.com/annonce-8866-location-de-voitures-automatiques.html","30.000  FCFA","Offre d'un particulier à Biscuiterie","media/annonces/pics/d3ce551e6901cfa93733794e172d7417.jpeg","Location de voitures automatiques tout genre a partir de 30.000f: jour.

Contact Appel ou Whatsapp: 

782718278 ou 764823888."
"1738685484-22","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location Citroën C4 avec chauffeur","https://www.dakarvente.com/annonce-9244-location-c4-avec-chauffeur.html","20.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/6efef7fd13a7b03f1f2a55de2c46b5ff.jpeg","Location d'une Citroën C4 avec chauffeur."
"1738685511-23","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location PICK UP L200","https://www.dakarvente.com/annonce-9392-location-pick-up-l200.html","30.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/d3870e7cd63147e18b573d867888f32a.jpg","Bonjour, je loue ma L200 très propre en bon état avec un chauffeur respectueux, galant pour vos courses à un prix nul pas ailleurs; disponibilité immédiate, partout au sénégal."
"1738685517-24","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Ford Focus","https://www.dakarvente.com/annonce-9494-location-ford-focus.html","25.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/83f66fde220622bf834c628664665ace.jpeg","Je loue un Ford Focus automatique essence disponible pour tout vos déplacements Dakar et hors Dakar"
"1738685527-25","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Ford Transit utilitaire Van R.A.S","https://www.dakarvente.com/annonce-9536-ford-transit-utilitaire-van-ras.html","3.800.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/4181c7c4000153ee213588aa613044d8.jpg","✓Date d'immatriculation au Sénégal: 08/12/2016.

FORD Transit Van (Fourgonnette)

Boite Manuelle.

Carburant Diesel.

Année 2007

Cylindrée: 2402 Cm³

Nbre de Places: 03

PTAC: (Poids Total Autorisé en charge) 3,5 Tonnes.

PV (Poids à vide du véhicule): 1,943 Tonnes.

CU (Charge Utile) : 1,557 Tonnes.

Prix: À débattre..."
"1738685536-26","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location voiture","https://www.dakarvente.com/annonce-9628-location-voiture.html","1  FCFA","Offre d'un particulier à Point E","media/annonces/pics/861fa614aaf58719664d5a9420320a77.jpg","Location vente de voiture de toutes marques. 

plus d'informations contactez nous"
"1738685545-27","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","location d'une camionnette","https://www.dakarvente.com/annonce-9670-location-d-une-camionnette.html","60.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/71f159ec68baa919a2931af6e821eb3c.jpg","location d'une camionnette Mitsubishi Canter  à 60 000 fr/jr avec chauffeur.

Poids 6 tonnes 

Convenable pour le transport de marchandises, meubles,..."
"1738685557-28","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Toyota Hiace High Roof","https://www.dakarvente.com/annonce-9722-location-toyota-hiace-high-roof.html","50.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/46c969c80e17724a6d0399e1e94ef6ef.jpg","Bonjour je mets en Location ma voiture de marque Toyota HIACE modèle HIGH ROOF de 16 places avec chauffeur y compris, climatisée en très bon état comme sur la photo avec chauffeur bilingue pour vos excursions touristiques, déplacement à l’aéroport DAKAR - AIBD- DAKAR voire transfert de personnels. Propre bien entretenue.

Découverte touristique

Cérémonies

Publicité Mobile

Longue durée de préférence aussi le prix peut varier suivant la destination

Visibilité à Dakar avec WIFI à bord. Merci"
"1738685566-29","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture","https://www.dakarvente.com/annonce-10567-location-de-voiture.html","","Offre d'un particulier à Dakar","media/annonces/pics/3ee330d5f03181485a3cea5833e69242.jpg","Location vente de voiture de toutes marques. 

plus d'informations contactez nous"
"1738685579-30","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Chambre meublée à louer","https://www.dakarvente.com/annonce-10575-chambre-meuble-louer.html","30.000  FCFA","Offre d'un particulier à Liberté 6","media/annonces/pics/dadf6b0582d4ace089af9ac77be24898.jpg","Chambre meublée climatisée à louer à liberté 6 extension

2chambres, salon, cuisine, salle de bain, wifi"
"1738685593-31","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Voiture à louer","https://www.dakarvente.com/annonce-10576-voiture-louer.html","30.000  FCFA","Offre d'un particulier à Liberté 6","media/annonces/pics/09d53647984c3d7f0b764258a2e97587.jpg","Hyundai elantra automatique à louer

Année : 2013

Carburant : essence

Clim et bluetooth"
"1738685620-32","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location auto Toyota pickup 4X4","https://www.dakarvente.com/annonce-10844-location-auto-toyota-pickup-4x4.html","35.000  FCFA","Offre d'un particulier à Nord Foire","media/annonces/pics/b6eef12e28d39593f5a2837483abf41d.jpg","Service de location Toyota  L200 PICKUP double cabines en bon état."
"1738685637-33","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Voiture à louer","https://www.dakarvente.com/annonce-10857-voiture-louer.html","35.000  FCFA","Offre d'un particulier à Liberté 6","media/annonces/pics/cb2af9475592721e24c6bd8e23b26247.jpg","Ford Camry  automatique à louer à liberté 6 extension

Année : 2012

Carburant : essence

Climatiseur

Infos : 778287788/778125552

Conditions : 48h au minimum"
