page-link,marque,price,adresse,image-link,devise
https://www.dakarvente.com/annonce-9856-mitsubishi.html,"Mitsubishi RVR 

Essence automatique 

2012 4cylindres 

Déjà dédouaner 

Climatisation 

Chauffage 

Radio / CD / Aux 

Système ABS/ESP 

Très propre",6990000.0,6,media/annonces/pics/f8248e8d85510fdf3fe605f2ccc011be.jpeg,FCFA
https://www.dakarvente.com/annonce-9860-peugeot-407-break-gasoil-manuelle.html,"Belle Peugeot 407 , gasoil , manuelle, climatisée , année 2007 , trés propre , visible à Guėdiawaye , Hamo 4 .",2300000.0,Guédiawaye,media/annonces/pics/63ecf8ce6a2caec4019a183eefb38c50.jpg,FCFA
https://www.dakarvente.com/annonce-9861-wanter-range-rover-evoque-2014.html,9.500.0000,9500000.0,Amitié,media/annonces/pics/bbdafeb57ac3f9840d4ab0396e7feedf.jpeg,FCFA
https://www.dakarvente.com/annonce-9863-vente-toyota-auris-2011.html,"4 millions 300

Contact Appel ou Whatsapp",4300000.0,Fass,media/annonces/pics/c39bc4687feeda9416740b34cfae529a.jpeg,FCFA
https://www.dakarvente.com/annonce-9864-wanter-chevrolet-cobalt.html,"2 millions

Contact Appel ou Whatsapp",2000000.0,Derklé,media/annonces/pics/a2a0a088056509acea70f0e1af348d97.jpeg,FCFA
https://www.dakarvente.com/annonce-9870-toyota-corolla-septplace-vendre.html,"3.250.0000

Benedith et Lucy Diatta",3250000.0,Dakar,media/annonces/pics/1f174482012e2bf5ff15647dd1671645.jpg,FCFA
https://www.dakarvente.com/annonce-9871-toyota-corolla-septplace-vendre.html,"3.250.0000

Benedith et Lucy Diatta",3250000.0,Dakar,media/annonces/pics/f40e9a505341991986b56c70a2fa18eb.jpg,FCFA
https://www.dakarvente.com/annonce-9872-voiture-kia-soul-2010.html,Kia Soul en bon état 2010 Essence Automatique,4000000.0,Dakar,media/annonces/pics/fadc45d1134be86504b40c01f4749cb4.jpeg,FCFA
https://www.dakarvente.com/annonce-9877-wanter-peugeot-308.html,"2.300.000f

Contact Appel ou Whatsapp",2300000.0,Yoff,media/annonces/pics/8bbfa128aca713f6220dd20aac32aac6.jpeg,FCFA
https://www.dakarvente.com/annonce-9878-wanter-citroen-c3.html,1.700.000f,1700000.0,Castors,media/annonces/pics/67aab3b698db1580a6cb0290332f290a.jpeg,FCFA
https://www.dakarvente.com/annonce-9882-wanter-peugeot-407-break.html,"2 millions

Contact Appel ou Whatsapp",2000000.0,Fass,media/annonces/pics/70ecd1d9113c8e7d6c3062020d2bb348.jpeg,FCFA
https://www.dakarvente.com/annonce-9885-chevrolet-cobalt-vendre.html,Chevrolet cobalt essence à vendre pas chère,2000000.0,Yoff,media/annonces/pics/189c359ed9f3639f05daa1e9af427888.jpg,FCFA
https://www.dakarvente.com/annonce-9887-wanter-peugeot-308.html,2.850.000,2850000.0,Médina,media/annonces/pics/8cb28735eb8d271e9d6225269191ae65.jpeg,FCFA
https://www.dakarvente.com/annonce-9897-wanter-kia-sorento.html,2.400.000f,2400000.0,Derklé,media/annonces/pics/dd01cc8d31cc43637308b002291b43f5.jpeg,FCFA
https://www.dakarvente.com/annonce-9902-wanter-peugeot-508.html,Peugeot 508 année 2011 essence manuelle 6 vitesses bradée à  un prix fou de 3.500.000f last,3500000.0,Foire,media/annonces/pics/bb5d03db1768da548a2308ebf22d55a4.jpeg,FCFA
https://www.dakarvente.com/annonce-9905-suzuki-grand-vitara.html,"Belle et robuste Suzuki Grand Vitara avec un moteur Diesel monté recemment qui ne consomme pas, 4 cylindres, manuel avec tout les papiers en règle. Cette version de 4x4  très confortable est disponible à un prix cadeau . Pour plus d’infos contactez moi",3000000.0,Thiès,media/annonces/pics/84cd2be89f3534495e4ed49feb740f55.jpeg,FCFA
https://www.dakarvente.com/annonce-9958-golf-passat-2008.html,782718278 ou 764823888,2000000.0,Médina,media/annonces/pics/73a1be94b576293904d81c2116142666.jpeg,FCFA
https://www.dakarvente.com/annonce-9963-bus-volvo-venant-58-places.html,"Bus venant de 58 places vendu avec tous ses papiers 

Carte grise + redressement douane + licence de transports",16000000.0,Dakar,media/annonces/pics/206ff0ac1cc8889a58c6b13dddc68848.jpg,FCFA
https://www.dakarvente.com/annonce-9977-wanter-peugeot-407.html,Peugeot 407⛽⛽ diesel boîte automatique très propre moteur d'origine climatisé internet propre et nickel km moins de,2800000.0,Biscuiterie,media/annonces/pics/08576776f8f69f42f332c322921dde10.jpeg,FCFA
https://www.dakarvente.com/annonce-10021-pack-accessoires-nettoyage-auto.html,"- 1 Pompe  pour nettoyer l'intérieure de la voiture

- 4 Lingette fibre

- 1 Produit anti-rayures

-1 Aspirateur humide et sec",28000.0,Dakar,media/annonces/pics/74c26b3b54595694aa2e2e78aaebbe4d.jpg,FCFA
https://www.dakarvente.com/annonce-10024-vente-camion-iveco.html,782718278 ou 764823888,6900000.0,Colobane,media/annonces/pics/8b875f2659cebf2382bcc80b76510518.jpeg,FCFA
